Proyecto de Ley;Fecha Documento;Fecha de Presentación;N. Trámite;N. Documento;Estado;Comisión asignada;Fecha Calificación CAL;Proponentes
"PROYECTO DE LEY ORGÁNICA REFORMATORIA A LA LEY DEL DEPORTE, EDUCACIÓN FÍSICA Y RECREACIÓN";"2025-05-08";"2025-05-08";"464910";"464910";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"No Asignado";null;"UGSHA TOAQUIZA CÉSAR ARTURO(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA A LA LEY ORGÁNICA ELECTORAL Y DE ORGANIZACIONES POLÍTICAS DE LA REPUBLICA DEL ECUADOR";"2025-05-06";"2025-05-08";"464879";"464879";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"Comisión de Justicia y Estructura del Estado";"2025-05-19";"GUTIÉRREZ BORBÚA LUCIO EDWIN(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGANICA REFORMATORIA A LA LEY ORGANICA DE CULTURA";"2025-05-07";"2025-05-07";"464760";"464760";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"No se Asigna Comisión por calificación Negada";"2025-05-19";"AGUILAR JIMENEZ SANTIAGO DAVID(ASAMBLEÍSTA)"
"PROYECTO DE LEY DE RECONOCIMIENTO Y REPARACIÓN DE DERECHOS LABORALES, COLECTIVOS DE TRABAJADORES DE CNEL-EP";"2025-05-07";"2025-05-07";"464771";"464771";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"No se Asigna Comisión por calificación Negada";"2025-05-19";"CRUZ RODRIGUEZ PEDRO ROBERTO(INICIATIVA CIUDADANA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA AL CÓDIGO DEL TRABAJO";"2025-05-07";"2025-05-07";"464831";"464831";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"Comisión del Derecho al Trabajo y a la Seguridad Social";"2025-05-19";"CABEZAS CASTILLO JANETH PAOLA(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA PARA GARANTIZAR LA ASIGNACIÓN DIRECTA DE RECURSOS PARA EL DESARROLLO DE LOS GOBIERNOS AUTÓNOMOS DESCENTRALIZADOS";"2025-05-07";"2025-05-07";"464849";"464849";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"Comisión de Gobiernos Autónomos, Descentralización, Competencias y Organización del Territorio";"2025-05-13";"VERA PALACIOS OTTO SANTIAGO(ASAMBLEÍSTA)"
"PROYECTO DE LEY REFORMATORIA PARA LA ESTABILIDAD Y SOSTENIBILIDAD DEL SISTEMA DE SEGURIDAD SOCIAL";"2025-05-07";"2025-05-07";"464848";"464848";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"Comisión del Derecho al Trabajo y a la Seguridad Social";"2025-05-13";"VERA PALACIOS OTTO SANTIAGO(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA DE ARBITRAJE Y MEDIACIÓN";"2025-05-07";"2025-05-07";"464857";"464857";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"No se Asigna Comisión por calificación Negada";"2025-05-19";"RUEDA CAMACHO SANDRA ELIZABETH(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA DEL DERECHO A LA CIUDAD Y DERECHOS HUMANOS";"2025-05-07";"2025-05-07";"464761";"464761";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"No se Asigna Comisión por calificación Negada";"2025-05-19";"AGUILAR JIMENEZ SANTIAGO DAVID(ASAMBLEÍSTA)"
"PROYECTO DE LEY REFORMATORIA A LA LEY ORGÁNICA DE TRATA DE PERSONAS Y TRAFICO ILÍCITO DE MIGRANTES";"2025-05-07";"2025-05-07";"464832";"464832";"INFORME PARA SEGUNDO DEBATE";"Comisión de Relaciones Internacionales y Movilidad Humana";"2025-05-19";"CABEZAS CASTILLO JANETH PAOLA(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA AL CÓDIGO ORGÁNICO GENERAL DE PROCESOS, PARA DISPONER SOBRE LA CADUCIDAD DE BOLETA DE APREMIO EN MATERIA DE ALIMENTOS (464722)";"2025-05-06";"2025-05-06";"464722";"464722";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"Comisión de Justicia y Estructura del Estado";"2025-05-19";"GALARZA AÑAZCO ANA MERCEDES(ASAMBLEÍSTA)"
"PROYECTO DE CÓDIGO ORGÁNICA PARA LA TRANSFORMACIÓN PRODUCTIVA DEL AGRO Y LA PESCA";"2025-05-06";"2025-05-06";"464686";"4646486";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"No Asignado";null;"INTRIAGO ALCÍVAR JAMINTON ENRIQUE(ASAMBLEÍSTA)/ CUERO MEDINA ROBERTO EMILIO(ASAMBLEÍSTA)/ VERA PALACIOS OTTO SANTIAGO(ASAMBLEÍSTA)"
"PROYECTO DE CÓDIGO ORGÁNICO DE SALUD";"2025-05-06";"2025-05-06";"464696";"464696";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"No se Asigna Comisión por calificación Negada";"2025-05-19";"TAPIA ESCALANTE MANUEL HUMBERTO(ASAMBLEÍSTA)/ SALINAS OCHOA CAMILO AURELIO(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA A LA LEY ORGÁNICA ELECTORAL, CÓDIGO DE LA DEMOCRACIA";"2025-05-06";"2025-05-06";"AN-PZME-2025-0051-M";"AN-PZME-2025-0051-M";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"Comisión de Justicia y Estructura del Estado";"2025-05-19";"PALACIOS ZAMBRANO MÓNICA ESTEFANÍA(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA DE PARTICIPACIÓN DE LAS RENTAS DEL ESTADO A FAVOR DE LOS GOBIERNOS AUTÓNOMOS DESCENTRALIZADOS Y UNIVERSIDADES PÚBLICAS POR LA INDUSTRIALIZACIÓN DE PETRÓLEO EN LA PROVINCIA DE SANTA ELENA";"2025-05-06";"2025-05-06";"464688";"464688";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"Comisión de Desarrollo Económico, Productivo y la Microempresa";"2025-05-13";"VERA PALACIOS OTTO SANTIAGO(ASAMBLEÍSTA)"
"PROYECTO DE LEY REFORMATORIA A LA LEY QUE FIJA EL LÍMITE TERRITORIAL ENTRE LAS PROVINCIAS ESMERALDAS E IMBABURA EN LA ZONA DENOMINADA LAS GOLONDRINAS";"2025-05-06";"2025-05-06";"464735";"464735";"ARCHIVADO";"No se Asigna Comisión por calificación Negada";"2025-06-11";"POSSO NARANJO LUCIA ANABELLE(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA PRA REFORZAR LA SEGURIDAD CIUDADANA EN EL ECUADOR";"2025-05-05";"2025-05-05";"464630";"464630";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"No se Asigna Comisión por calificación Negada";"2025-05-16";"VELA JIMÉNEZ JOSÉ RAMIRO(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA A LA CODIFICACION DE LA LEY ORGÁNICA DE EDUCACION INTERCULTURAL PARA LA INCLUSION DE LA CATEDRA DE JUAN MONTALVO EN EL CURRICULO DE ESTUDIO";"2025-05-05";"2025-05-05";"464662";"464662";"AVOCO DEL PROYECTO POR PARTE DE LA COMISIÓN";"Comisión de Educación, Cultura, Ciencia, Tecnología, Innovación y Saberes Ancestrales";"2025-05-19";"LOPEZ ALBAN PATRICIA ELIZABETH(ASAMBLEÍSTA)"
"PROYECTO DE LEY QUE REFORMA LA LEY ORGÁNICA DE EMPRESAS PÚBLICAS";"2025-05-05";"2025-05-05";"464647";"464647";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"No se Asigna Comisión por calificación Negada";"2025-05-19";"SALINAS OCHOA CAMILO AURELIO(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA AL ARTÍCULO 541 DEL CÓDIGO ORGÁNICO INTEGRAL PENAL";"2025-05-01";"2025-05-01";"464574";"464574";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"Comisión de Justicia y Estructura del Estado";"2025-05-06";"SUING NAGUA JOSE(CORTE NACIONAL DE JUSTICIA)"
"PROYECTO DE LEY PARA EL OTORGAMIENTO DE LA PERSONALIDAD JURÍDICA DE LAS ORGANIZACIONES SOCIALES SIN FINES DE LUCRO";"2025-04-30";"2025-04-30";"464532";"464532";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"Comisión de Transparencia, Participación Ciudadana y Control Social";"2025-05-13";"SAMANIEGO MAIGUA FRANKLIN OMAR(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA AL CÓDIGO ORGÁNICO DEL AMBIENTE";"2025-04-30";"2025-04-30";"464530";"464530";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"No se Asigna Comisión por calificación Negada";"2025-05-19";"MAYORGA TAPIA ROSA BELÉN(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA A LA LEY ORGÁNICA DE ECONOMÍA POPULAR Y SOLIDARIA Y A LA LEY ORGÁNICA DE CONTRATACIÓN PÚBLICA PARA PRIORIZAR FERIAS INCLUSIVAS EN BENEFICIO DE LA ECONOMIA POPULAR Y SOLIDARIA";"2025-04-29";"2025-04-29";"464464";"464464";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"No se Asigna Comisión por calificación Negada";"2025-05-19";"ACHI SIBRI AUDY MARCELO(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA A LA LEY ORGÁNICA DE SALUD";"2025-04-29";"2025-04-29";"464478";"464478";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"Comisión del Derecho a la Salud y el Deporte";"2025-05-19";"ALARCÓN BUENO INÉS MARGARITA(ASAMBLEÍSTA)/ ALVARADO CAMPI LUIS RICARDO(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA AL CÓDIGO ORGÁNICO INTEGRAL PENAL EN CONTRAVENCIONES DE TRÁNSITO SOBRE EL EXCESO DE VELOCIDAD Y EL CONSUMO DE ALCOHOL";"2025-04-29";"2025-04-29";"464471";"464471";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"No se Asigna Comisión por calificación Negada";"2025-05-19";"URRESTA GUZMÁN JHAJAIRA ESTEFANÍA(ASAMBLEÍSTA)"
"PROYECTO DE LEY RESPONSABILIDAD CORPORATIVA Y BUEN GOBIERNO PARA EL BUEN VIVIR";"2025-04-29";"2025-04-29";"464468";"464468";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"No se Asigna Comisión por calificación Negada";"2025-05-19";"ORTIZ VILLAVICENCIO JOHANNA CECIBEL(ASAMBLEÍSTA)"
"PROYECTO DE LEY DE JUSTICIA LABORAL Y RESPONSABILIDAD EMPRESARIAL PARA LA PROTECCIÓN EFECTIVA DE LOS DERECHOS DE LOS TRABAJADORES";"2025-04-29";"2025-04-29";"464469";"464469";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"No se Asigna Comisión por calificación Negada";"2025-05-19";"ORTIZ VILLAVICENCIO JOHANNA CECIBEL(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA PARA LA REGULACIÓN Y EJERCICIO DE LOS AGENTES DE ADUANA EN EL ECUADOR";"2025-04-29";"2025-04-29";"464472";"464472";"PROYECTO TRAMITADO EN PRIMER DEBATE";"Comisión de Relaciones Internacionales y Movilidad Humana";"2025-05-13";"VELASCO ERAZO PEDRO RAMIRO(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA AL CÓDIGO ORGÁNICO GENERAL DE PROCESOS PARA LA CITACIÓN A TRAVÉS DE PUBLICACIONES EN EDICIÓN DIGITAL";"2025-04-29";"2025-04-29";"464467";"464467";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"Comisión de Justicia y Estructura del Estado";"2025-05-13";"ORTIZ VILLAVICENCIO JOHANNA CECIBEL(ASAMBLEÍSTA)"
"PROYECTO DE LEY DE FOMENTO AGROINDUSTRIAL, SOBERANÍA ALIMENTARIA Y EMPLEO DIGNO";"2025-04-29";"2025-04-29";"464470";"464470";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"No se Asigna Comisión por calificación Negada";"2025-05-19";"ORTIZ VILLAVICENCIO JOHANNA CECIBEL(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNIA REFORMATORIA A LA LEY ORGÁNICA DE SALUD";"2025-04-28";"2025-04-28";"464441";"464441";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"Comisión del Derecho a la Salud y el Deporte";"2025-05-13";"GUTIÉRREZ BORBÚA LUCIO EDWIN(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA DE LA LEY ORGÁNICA DE EMPRENDIMIENTO E INNOVACIÓN";"2025-04-24";"2025-04-24";"AN-CAV-2025-0020-M";"AN-CAV-2025-0020-M";"INFORME PARA PRIMER DEBATE";"Comisión de Desarrollo Económico, Productivo y la Microempresa";"2025-05-04";"CENTENO ARTEAGA VALENTINA(ASAMBLEÍSTA)"
"PROYECTO DE LEY PARA LA REGULACIÓN DEL LOBBYING Y LA GESTIÓN DE INTERESES";"2025-04-24";"2025-04-24";"464336";"464336";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"Comisión de Transparencia, Participación Ciudadana y Control Social";"2025-05-13";"DÍAZ IZURIETA JOSÉ FRANCISCO(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA A LA LEY ORGÁNICA PARA LA PLANIFICACIÓN Y DESARROLLO INTEGRAL DE LA CIRCUNSCRIPCIÓN TERRITORIAL ESPECIAL AMAZÓNICA";"2025-04-23";"2025-04-23";"464260";"464260";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"No se Asigna Comisión por calificación Negada";"2025-05-19";"RUEDA CAMACHO SANDRA ELIZABETH(ASAMBLEÍSTA)"
"PROYECTO DE LEY PARA LA CONSERVACION Y PROTECCION DE LAS PAMPAS SALINERAS";"2025-04-23";"2025-04-23";"464275";"464275";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"No se Asigna Comisión por calificación Negada";"2025-05-19";"ZAMBRANO GONZÁLEZ VIVIANA JACQUELINE(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA AL CÓDIGO ORGÁNICO ADMINISTRATIVO";"2025-04-23";"2025-04-23";"464266";"464266";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"No se Asigna Comisión por calificación Negada";"2025-05-13";"PARRA TOVAR SIXTO ANTONIO(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGANICA PARA PREVENIR EL CONTRABANDO DE PRODUCTOS AGRICOLAS EN EL ECUADOR";"2025-04-23";"2025-04-23";"AN-VJJR-2025-0029-M";"AN-VJJR-2025-0029-M";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"Comisión de Soberanía Alimentaria y Desarrollo del Sector Agropecuario y Pesquero";"2025-05-13";"VELA JIMÉNEZ JOSÉ RAMIRO(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA A LA LEY ORGÁNICA DEL SERVICIO PÚBLICO DEBIDO A UN AUTO DE LLAMAMIENTO A JUICIO";"2025-04-23";"2025-04-23";"464263";"464263";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"Comisión del Derecho al Trabajo y a la Seguridad Social";"2025-05-13";"BOHÓRQUEZ TAPIA MANUEL OSWAL(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA DEL USO RESPONSABLE DE REDES SOCIALES";"2025-04-23";"2025-04-23";"464264";"464264";"INFORME PARA PRIMER DEBATE";"Comisión de Educación, Cultura, Ciencia, Tecnología, Innovación y Saberes Ancestrales";"2025-05-04";"BOHÓRQUEZ TAPIA MANUEL OSWAL(ASAMBLEÍSTA)/ ÁLVAREZ GRANDA JORGE HERMEL(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA AL CÓDIGO ORGÁNICO MONETARIO YFINANCIERO";"2025-04-21";"2025-04-21";"464202";"464202";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"Comisión de Desarrollo Económico, Productivo y la Microempresa";"2025-05-04";"CASTILLO CAMPOVERDE ALEXANDRA ANDREA(ASAMBLEÍSTA)"
"PROYECTO DE LEY DE REFORMA DEL RÉGIMEN EDUCATIVO DEL BACHILLERATO EN EL ECUADOR";"2025-04-16";"2025-04-16";"AN-VJJR-2025-0024-M";"AN-VJJR-2025-0024-M";"AVOCO DEL PROYECTO POR PARTE DE LA COMISIÓN";"Comisión de Educación, Cultura, Ciencia, Tecnología, Innovación y Saberes Ancestrales";"2025-05-04";"VELA JIMÉNEZ JOSÉ RAMIRO(ASAMBLEÍSTA)"
"PROYECTO DE LEY PARA EL FORTALECIMIENTO Y MODERNIZACIÓN DE LA FIGURA DEL APRENDIZ Y LA CERTIFICACIÓN DE COMPETENCIAS LABORALES EN ECUADOR";"2025-04-16";"2025-04-16";"464101";"464101";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"Comisión del Derecho al Trabajo y a la Seguridad Social";"2025-05-04";"PASQUEL ANDRADE MARÍA TERESA DEL CARMEN(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA PARA LA DEFENSA PROFESIONAL DEL CONTADOR";"2025-04-14";"2025-04-14";"AN-CZCM-2025-0025-M";"AN-CZCM-2025-0025-M";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"Comisión del Derecho al Trabajo y a la Seguridad Social";"2025-05-04";"CRUZ ZAMBRANO CARLA MAGALY(ASAMBLEÍSTA)"
"PROYECTO DE LEY INTERPRETATIVA AL ARTICULO 24 DE LA LEY ORGÁNICA PARA FOMENTAR LA PRODUCCIÓN, COMERCIALIZACIÓN, INDUSTRIALIZACIÓN, CONSUMO Y FIJACIÓN DEL PRECIO DE LA LECHE Y SUS DERIVADOS";"2025-04-09";"2025-04-09";"463922";"463922";"RETIRADO";"No Asignado";null;"BOHÓRQUEZ TAPIA MANUEL OSWAL(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA DE ATENCIÓN DE SALUD EN ENFERMEDADES DE ALTA COMPLEJIDAD EN LA PROVINCIA DE GALÁPAGOS";"2025-04-08";"2025-04-08";"463862";"463862";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"Comisión del Derecho a la Salud y el Deporte";"2025-04-22";"ROGEL VILLACÍS JOSE LENÍN(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA AL CÓDIGO ORGÁNICO MONETARIO Y FINANCIERO PARA REGULAR LOS BUROS DE INFORMACIÓN CREDITICIA";"2025-04-03";"2025-04-03";"463720";"463720";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"Comisión de Régimen Económico y Tributario y su Regulación y Control";"2025-04-22";"PASQUEL ANDRADE MARÍA TERESA DEL CARMEN(ASAMBLEÍSTA)"
"PROYECTO DE LEY PARA EL DESARROLLO DE INFRAESTRUCTURA PORTUARIA Y MULTIMODAL SOSTENIBLE EN LA PROVINCIA DE GALÁPAGOS Y CREACIÓN DE LA AUTORIDAD PORTUARIA MULTIMODAL DE LA PROVINCIA DE GALAPAGOS";"2025-04-03";"2025-04-03";"463705";"463705";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"Comisión de Desarrollo Económico, Productivo y la Microempresa";"2025-04-22";"ROGEL VILLACÍS JOSE LENÍN(ASAMBLEÍSTA)"
"PROYECTO DE LEY PARA LA CREACIÓN DE UN REGIMEN DE INCENTIVOS FISCALES PARA LAS ENTIDADES DEL SECTOR FINANCIERO DE LA ECONOMIA POPULAR Y SOLIDARIA, QUE BRINDEN CREDITOS A TASA DE INTERES BAJAS Y PLAZOS ACCESIBLES PARA EMPRENDIMIENTOS DE LA ECONOMIA POPULAR Y SOLIDARIA";"2025-04-03";"2025-04-03";"AN-ASAM-2025-0027-M";"AN-ASAM-2025-0027-M";"RETIRADO";"No Asignado";null;"ACHI SIBRI AUDY MARCELO(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA AL CÓDIGO ORGÁNICO INTEGRAL PENAL PARA PREVENIR, SANCIONAR Y ERRADICAR EL RECLUTAMIENTO DE NIÑOS, NIÑAS Y ADOLESCENTES POR PARTE DE ORGANIZACIONES DELICTIVAS";"2025-04-02";"2025-04-02";"463703";"463703";"AVOCO DEL PROYECTO POR PARTE DE LA COMISIÓN";"Comisión de Justicia y Estructura del Estado";"2025-04-22";"JARAMILLO ZURITA LUCÍA LIZBETH(ASAMBLEÍSTA)"
"PROYECTO DE LEY DE E-GOBIERNO O GOBIERNO ELECTRÓNICO";"2025-03-25";"2025-03-25";"463292";"033 AAC";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"Comisión de Desarrollo Económico, Productivo y la Microempresa";"2025-04-22";"CASTILLO CAMPOVERDE ALEXANDRA ANDREA(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA DE LA FUNCIÓN LEGISLATIVA";"2025-03-24";"2025-03-24";"463244";"463244";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"No Asignado";null;"CUESTA SANTANA ESTHER ADELINA(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGANICA REFORMATORIA A LA LEY ORGANICA ELECTORAL Y DE ORGANIZACIONES POLITICAS DE LA REPUBLICA DEL ECUADOR, CODIGO DE LA DEMOCRACIA Y DEL CODIGO ORGANICO INTEGRAL PENAL EN DEFENSA DE LAS MUJERES POLITICAS";"2025-03-20";"2025-03-20";"463121";"463121";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"Comisión de Justicia y Estructura del Estado";"2025-04-22";"ROSERO PAZ JUAN CARLOS(ASAMBLEÍSTA)"
"PROYECTO DE LEY REFORMATORIA A LA LEY ORGÁNICA ELECTORAL Y DE ORGANIZACIONES POLÍTICAS DE LA REPÚBLICA DEL ECUADOR, CÓDIGO DE LA DEMOCRACIA";"2025-03-19";"2025-03-19";"AN-ZGVJ-2025-0006-M";"AN-ZGVJ-2025-0006-M";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"Comisión de Justicia y Estructura del Estado";"2025-04-22";"ZAMBRANO GONZÁLEZ VIVIANA JACQUELINE(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA AL CÓDIGO ORGÁNICO INTEGRAL PENAL EN MATERIA DE DELITOS TECNOLÓGICOS";"2025-03-18";"2025-03-18";"463040";"463040";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"Comisión de Justicia y Estructura del Estado";"2025-04-22";"ACAITURRI VILLA VARAS JORGE ENRIQUE(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA REFORMATORIA DEL CÓDIGO ORGÁNICO INTEGRAL PENAL";"2025-03-18";"2025-03-18";"463069";"463069";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"Comisión de Justicia y Estructura del Estado";"2025-04-22";"BAYAS URIARTE JADIRA DEL ROSARIO(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGÁNICA PARA LA PROMOCIÓN Y PROTECCIÓN DE LA MEDICINA TRADICIONAL Y LA SALUD ANCESTRAL";"2025-03-18";"2025-03-18";"463042";"463042";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"No Asignado";null;"AROTINGO CUSHCAGUA ROSA MARGARITA(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGANICA REFORMATORIA AL CODIGO ORGANICO MONETARIO Y FINANCIERO";"2025-03-14";"2025-03-14";"462887";"462887";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"Comisión de Desarrollo Económico, Productivo y la Microempresa";"2025-04-22";"POSSO NARANJO LUCIA ANABELLE(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGANICA REFORMATORIA AL CODIGO ORGANICO DE LA FUNCION JUDICIAL Y AL CODIGO ORGANICO INTEGRAL PENAL PARA PREVENIR Y SANCIONAR LA MALA FE PROCESAL Y LA DILACION EN EL SISTEMA PROCESAL ECUATORIANO";"2025-03-14";"2025-03-14";"462901";"462901";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"No Asignado";null;"NOBOA AZIN DANIEL ROY-GILCHRIST(PRESIDENCIA DE LA REPÚBLICA)"
"PROYECTO DE LEY QUE REGULA LOS PROCEDIMIENTOS EUTANÁSICOS Y LAS VOLUNTADES ANTICIPADAS";"2025-03-13";"2025-03-13";"462858";"462858";"AVOCO DEL PROYECTO POR PARTE DE LA COMISIÓN";"Comisión del Derecho a la Salud y el Deporte";"2025-04-22";"SALINAS OCHOA CAMILO AURELIO(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGANICA REFORMATORIA A LA LEY ORGANICA DE LA FUNCION LEGISLATIVA";"2025-03-13";"2025-03-13";"462865";"462865";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"Comisión de Justicia y Estructura del Estado";"2025-04-22";"RIVADENEIRA CALDERÓN ANDREA YALU(ASAMBLEÍSTA)"
"PROYECTO DE LEY ORGANICA REFORMATORIA PARA SIMPLIFICAR LA DECLARATORIA DE INTERDICCION";"2025-03-12";"2025-03-12";"AN-VRRV-2025-0014-M";"AN-VRRV-2025-0014-M";"CALIFICACIÓN DEL CONSEJO DE ADMINISTRACIÓN LEGISLATIVA (CAL)";"Comisión de Justicia y Estructura del Estado";"2025-04-22";"VELOZ RAMÍREZ REBECA VIVIANA(ASAMBLEÍSTA)"
